given,family
Parham,Aarabi
Kannan,Achan
Hagai,Attias
Yoshua,Bengio
Yaron,Caspi
Greg,Cooper
Adrian,Corduneanu
Nando,de Freitas
Nir,Friedman
David,Heckerman
Nebojsa,Jojic
Anitha,Kannan
Trausti,Kristjansson
Neil D.,Lawrence
David,Madigan
Christopher,Meek
Marina,Meila
Andrew,Moore
Quaid,Morris
Kevin,Murphy
Nuria,Oliver
Chris,Pal
Vladimir,Pavlovic
Daryl,Pregibon
Tom,Richardson
Romer,Rosales
Sam,Roweis
Dale,Schuurmans
Prakash,Shenoy
Yoram,Singer
Padhraic,Smyth
David,Spiegelhalter
Peter,Spirtes
Yee Whye,Teh
Bo,Thiesson
Michael,Tipping
Volker,Tresp
Martin,Wainwright
Max,Welling
Christopher K. I.,Williams
John,Winn
Richard,Zemel
